registration,operator,age_years,variant,delivery_date
PH-BCK,KLM,7,B737 MAX 8,2018-07-12
LN-NIC,Norwegian,10,B737-800,2016-05-01
D-AZG,Lufthansa,4,B737 MAX 8,2021-12-18
TC-CRJ,Corendon,6,B737 MAX 8,2019-11-23
OO-JWE,TUI fly,4,B737 MAX 8,2021-12-28
OO-JZQ,TUI fly,2,B737 MAX 8,2023-07-22
OK-SBB,Smartwings,10,B737-800,2016-05-01
SP-LND,LOT Polish,6,B737-800,2019-12-18
TC-SXN,SunExpress,8,B737-800,2017-06-07
SP-LEH,LOT Polish,8,B737 MAX 8,2018-05-11
OK-SHS,Smartwings,5,B737-800,2021-03-29
TC-SYH,SunExpress,5,B737 MAX 8,2021-05-16
EI-DOU,Ryanair,5,B737 MAX 8,2020-08-03
EI-DDM,Ryanair,7,B737-800,2018-09-11
OK-STG,Smartwings,8,B737-800,2017-07-17
EI-DCN,Ryanair,2,B737-800,2023-12-12
SP-ERW,Enter Air,10,B737-800,2016-05-01
PH-BLC,KLM,9,B737 MAX 8,2017-04-09
PH-BDT,KLM,6,B737 MAX 8,2019-08-14
D-AYM,Lufthansa,3,B737 MAX 8,2023-01-17
D-ASI,Lufthansa,6,B737 MAX 8,2019-11-28
SP-LHF,LOT Polish,10,B737-800,2016-05-01
D-AHA,Lufthansa,10,B737-800,2016-05-01
LN-NPQ,Norwegian,6,B737-800,2019-07-21
TC-SLB,SunExpress,10,B737-800,2016-05-01
EI-DGC,Ryanair,8,B737-800,2018-01-31
SP-EVM,Enter Air,10,B737-800,2016-05-01
EI-DKF,Ryanair,10,B737-800,2016-05-01
SP-EUH,Enter Air,10,B737-800,2016-05-01
OO-JOO,TUI fly,10,B737-800,2016-05-01
EI-DCR,Ryanair,10,B737-800,2016-05-01
EI-DNJ,Ryanair,8,B737 MAX 8,2017-11-11
D-ADB,Lufthansa,3,B737 MAX 8,2022-09-07
PH-BDZ,KLM,10,B737-800,2016-05-01
TC-CXY,Corendon,10,B737-800,2016-05-01
SP-ESC,Enter Air,10,B737-800,2016-05-01
TC-SGH,SunExpress,8,B737-800,2017-11-18
SP-LHW,LOT Polish,5,B737-800,2021-04-27
TC-SVE,SunExpress,4,B737-800,2022-04-22
SP-ELM,Enter Air,8,B737 MAX 8,2017-09-13
EI-DGY,Ryanair,7,B737 MAX 8,2018-09-22
OO-JVE,TUI fly,7,B737 MAX 8,2019-02-21
PH-BPX,KLM,5,B737-800,2021-05-06
EI-DUB,Ryanair,6,B737 MAX 8,2020-05-19
EI-DBF,Ryanair,2,B737 MAX 8,2023-10-18
EI-DLY,Ryanair,10,B737-800,2016-05-01
LN-NEX,Norwegian,4,B737 MAX 8,2021-06-10
EI-DQC,Ryanair,10,B737-800,2016-05-01
EI-DXH,Ryanair,4,B737-800,2021-10-06
OO-JBL,TUI fly,10,B737-800,2016-05-01
SP-LXK,LOT Polish,10,B737-800,2016-05-01
EI-DJG,Ryanair,10,B737-800,2016-05-01
TC-SDW,SunExpress,3,B737-800,2022-08-18
EI-DNW,Ryanair,8,B737 MAX 8,2017-08-13
LN-NKW,Norwegian,8,B737-800,2017-09-21
SP-LQQ,LOT Polish,10,B737-800,2016-05-01
OO-JBZ,TUI fly,3,B737 MAX 8,2022-12-28
LN-NRV,Norwegian,9,B737-800,2016-11-12
LN-NDS,Norwegian,6,B737 MAX 8,2019-11-26
SP-LOD,LOT Polish,10,B737-800,2016-05-01
LN-NAF,Norwegian,2,B737 MAX 8,2023-08-27
D-AVT,Lufthansa,10,B737-800,2016-05-01
EI-DYX,Ryanair,3,B737-800,2022-10-19
SP-EBA,Enter Air,10,B737-800,2016-05-01
TC-SBE,SunExpress,5,B737-800,2021-05-01
SP-LMQ,LOT Polish,10,B737-800,2016-05-01
LN-NPO,Norwegian,10,B737-800,2016-05-01
EI-DPV,Ryanair,5,B737-800,2021-02-13
TC-CCU,Corendon,5,B737-800,2020-05-26
OK-SIY,Smartwings,10,B737-800,2016-05-01
TC-SHW,SunExpress,10,B737-800,2016-05-01
TC-CSK,Corendon,9,B737 MAX 8,2017-01-11
EI-DVI,Ryanair,9,B737 MAX 8,2017-04-25
SP-LES,LOT Polish,10,B737-800,2016-05-01
D-APO,Lufthansa,10,B737-800,2016-05-01
EI-DTB,Ryanair,6,B737-800,2020-02-20
OK-SAD,Smartwings,10,B737 MAX 8,2016-05-01
TC-SEQ,SunExpress,8,B737 MAX 8,2017-07-08
OO-JVB,TUI fly,5,B737 MAX 8,2020-09-07
LN-NAQ,Norwegian,7,B737-800,2018-10-13
TC-CQZ,Corendon,10,B737-800,2016-05-01
EI-DMY,Ryanair,2,B737 MAX 8,2023-08-13
EI-DWW,Ryanair,10,B737 MAX 8,2016-05-01
PH-BMX,KLM,8,B737 MAX 8,2017-08-04
D-AQO,Lufthansa,10,B737-800,2016-05-01
D-ADE,Lufthansa,10,B737-800,2016-05-01
TC-SLZ,SunExpress,9,B737-800,2016-11-05
SP-ELT,Enter Air,9,B737 MAX 8,2017-04-20
SP-LMF,LOT Polish,10,B737-800,2016-05-01
OK-SNF,Smartwings,10,B737-800,2016-05-01
SP-EDB,Enter Air,10,B737-800,2016-05-01
SP-LAQ,LOT Polish,10,B737-800,2016-05-01
D-ADO,Lufthansa,10,B737-800,2016-05-01
PH-BHW,KLM,8,B737 MAX 8,2017-10-23
TC-CWM,Corendon,2,B737-800,2023-07-07
OO-JHF,TUI fly,10,B737-800,2016-05-01
PH-BDB,KLM,8,B737-800,2018-05-09
PH-BDL,KLM,5,B737 MAX 8,2020-07-22
D-AJD,Lufthansa,10,B737-800,2016-05-01
SP-ETR,Enter Air,10,B737-800,2016-05-01
SP-LYA,LOT Polish,3,B737-800,2022-08-07
EI-DVD,Ryanair,8,B737 MAX 8,2017-12-08
SP-EOA,Enter Air,9,B737-800,2017-01-20
EI-DAE,Ryanair,9,B737-800,2016-08-28
EI-DCI,Ryanair,6,B737 MAX 8,2020-02-02
EI-DCM,Ryanair,5,B737-800,2021-05-13
PH-BLS,KLM,3,B737 MAX 8,2022-11-07
OO-JBV,TUI fly,9,B737-800,2016-10-08
D-AEL,Lufthansa,3,B737-800,2023-01-09
EI-DBB,Ryanair,5,B737 MAX 8,2020-11-23
SP-LYF,LOT Polish,10,B737-800,2016-05-01
OK-SYX,Smartwings,4,B737 MAX 8,2021-08-26
SP-EYP,Enter Air,10,B737-800,2016-05-01
SP-LZZ,LOT Polish,9,B737 MAX 8,2016-07-12
D-AWA,Lufthansa,10,B737-800,2016-05-01
SP-LPL,LOT Polish,10,B737-800,2016-05-01
SP-EBL,Enter Air,8,B737 MAX 8,2017-10-14
EI-DFO,Ryanair,5,B737 MAX 8,2021-02-12
TC-SEZ,SunExpress,10,B737-800,2016-05-01
TC-STE,SunExpress,7,B737 MAX 8,2018-05-23
SP-EDG,Enter Air,7,B737 MAX 8,2018-06-17
OO-JBB,TUI fly,10,B737-800,2016-05-01
PH-BHE,KLM,10,B737-800,2016-05-01
OK-SUF,Smartwings,10,B737-800,2016-05-01
SP-LAE,LOT Polish,4,B737 MAX 8,2022-04-11
EI-DZD,Ryanair,8,B737 MAX 8,2017-06-29
TC-SBB,SunExpress,9,B737-800,2016-07-12
SP-LPE,LOT Polish,10,B737-800,2016-05-01
SP-LKU,LOT Polish,8,B737 MAX 8,2017-09-26
EI-DWY,Ryanair,10,B737-800,2016-05-01
TC-SXJ,SunExpress,5,B737 MAX 8,2020-08-12
OO-JID,TUI fly,6,B737-800,2020-05-21
EI-DVP,Ryanair,6,B737-800,2020-05-01
PH-BDI,KLM,10,B737-800,2016-05-01
TC-CUA,Corendon,7,B737-800,2018-09-03
TC-SIH,SunExpress,10,B737-800,2016-05-01
SP-LHN,LOT Polish,10,B737-800,2016-05-01
SP-LTG,LOT Polish,3,B737 MAX 8,2022-10-17
SP-ENC,Enter Air,3,B737-800,2022-07-28
D-AXY,Lufthansa,5,B737-800,2021-01-16
LN-NEN,Norwegian,10,B737-800,2016-05-01
OK-SQK,Smartwings,5,B737 MAX 8,2021-04-08
EI-DBH,Ryanair,10,B737-800,2016-05-01
EI-DNZ,Ryanair,8,B737-800,2018-04-09
TC-CTR,Corendon,10,B737-800,2016-05-01
EI-DFT,Ryanair,5,B737-800,2020-06-01
SP-EFF,Enter Air,9,B737-800,2016-12-09
TC-CTG,Corendon,10,B737-800,2016-05-01
EI-DWF,Ryanair,8,B737-800,2018-02-04
SP-LDU,LOT Polish,6,B737 MAX 8,2019-10-21
SP-ECY,Enter Air,6,B737 MAX 8,2020-03-07
EI-DIE,Ryanair,10,B737-800,2016-05-01
D-ANY,Lufthansa,5,B737-800,2021-03-31
SP-EVP,Enter Air,9,B737-800,2016-09-15
OO-JVN,TUI fly,10,B737-800,2016-05-01
LN-NXX,Norwegian,4,B737 MAX 8,2021-09-25
LN-NIR,Norwegian,10,B737-800,2016-05-01
EI-DIJ,Ryanair,2,B737-800,2023-12-16
TC-SQJ,SunExpress,10,B737 MAX 8,2016-05-01
SP-LMS,LOT Polish,10,B737-800,2016-05-01
